Country,State,StateName,Region,SalesPerson,SalesManager,SalesValue,DateOfSale,YearOfSale,MonthOfSale,Season
USA,Michigan,MI,West,Maria Garcia,Elena Costa,"9,448,896.00","Tuesday, April 23, 2019",2019,Apr,Spring
USA,Florida,FL,North-East,Yuri Petrov,Elena Costa,"7,446,281.00","Sunday, October 11, 2020",2020,Oct,Autumn
USA,Vermont,VT,North,Aisha Abubakar,Tariq Khan,"1,648,621.00","Tuesday, January 11, 2011",2011,Jan,Winter
USA,Illinois,IL,North-West,Nguyen Minh,Mei Chen,"19,082,232.00","Wednesday, November 10, 2010",2010,Nov,Autumn
USA,Trust Territories,TT,South-West,Leila Abadi,Elena Costa,"527,289.00","Saturday, October 16, 2010",2010,Oct,Autumn
USA,Utah,UT,West,Carlos Rodriguez,Sophia Li,"1,625,380.00","Wednesday, March 27, 2013",2013,Mar,Spring
USA,Northern Mariana Islands,MP,East,Mohammed Khan,Sophia Li,"10,614,613.00","Sunday, March 17, 2013",2013,Mar,Spring
USA,American Samoa,AS,North-West,Carlos Rodriguez,Mei Chen,"1,182,888.00","Thursday, July 13, 2017",2017,Jul,Summer
USA,New Mexico,NM,South-West,Ingrid Svensson,Tariq Khan,"936,029.00","Saturday, June 27, 2015",2015,Jun,Summer
USA,Kansas,KS,East,Isabella Rossi,Mohammad Rahman,"18,872,556.00","Monday, April 4, 2011",2011,Apr,Spring
USA,Vermont,VT,North,Miguel Fernandez,Sophia Li,"13,277,356.00","Saturday, December 25, 2010",2010,Dec,Winter
USA,American Samoa,AS,West,Isabella Rossi,Sophia Li,"1,664,758.00","Thursday, February 23, 2012",2012,Feb,Winter
USA,American Samoa,AS,North-West,Aisha Abubakar,Tariq Khan,"19,838,926.00","Wednesday, July 9, 2014",2014,Jul,Summer
USA,Alaska,AK,South-East,Carlos Rodriguez,Tariq Khan,"2,647,892.00","Saturday, December 10, 2016",2016,Dec,Winter
USA,Alaska,AK,South-West,Anna Nowak,Sophia Li,"5,228,252.00","Monday, December 12, 2011",2011,Dec,Winter
USA,Kentucky,KY,South,Miguel Fernandez,Sophia Li,"21,839,707.00","Monday, January 11, 2016",2016,Jan,Winter
USA,New Jersey,NJ,East,David Kim,Elena Costa,"12,311,410.00","Sunday, March 11, 2018",2018,Mar,Spring
USA,Kansas,KS,North-West,Jamal Al-Farsi,Tariq Khan,"9,413,573.00","Tuesday, November 20, 2018",2018,Nov,Autumn
USA,Michigan,MI,North-East,Fatima Mohamed,Mohammad Rahman,"3,398,733.00","Sunday, August 11, 2013",2013,Aug,Summer
USA,Arizona,AZ,South-West,Carlos Rodriguez,Tariq Khan,"10,781,868.00","Friday, September 3, 2010",2010,Sep,Autumn
USA,Virgin Islands,VI,South-West,Nguyen Minh,Sophia Li,"9,926,464.00","Friday, March 9, 2012",2012,Mar,Spring
USA,Maine,ME,West,Carlos Rodriguez,Tariq Khan,"13,601,873.00","Tuesday, October 11, 2011",2011,Oct,Autumn
USA,West Virginia,WV,South-West,Leila Abadi,Elena Costa,"995,712.00","Saturday, September 15, 2018",2018,Sep,Autumn
USA,Indiana,IN,South-West,Anna Nowak,Elena Costa,"3,841,787.00","Friday, November 22, 2013",2013,Nov,Autumn
USA,Maryland,MD,South-West,Ahmed Hassan,Mei Chen,"5,949,380.00","Wednesday, February 8, 2017",2017,Feb,Winter
USA,Oklahoma,OK,North-West,Ahmed Hassan,Sophia Li,"14,368,647.00","Sunday, September 2, 2018",2018,Sep,Autumn
USA,New Jersey,NJ,East,Priya Patel,Mohammad Rahman,"5,071,407.00","Friday, September 13, 2019",2019,Sep,Autumn
USA,Pennsylvania,PA,East,Carlos Rodriguez,Sophia Li,"6,444,566.00","Sunday, June 7, 2020",2020,Jun,Summer
USA,Iowa,IA,North-West,Yuri Petrov,Elena Costa,"3,530,471.00","Friday, June 5, 2015",2015,Jun,Summer
USA,Kentucky,KY,North,Anna Nowak,Mei Chen,"1,294,731.00","Sunday, April 5, 2015",2015,Apr,Spring
USA,Missouri,MO,North-East,Juan Lopez,Sophia Li,"6,633,350.00","Saturday, September 26, 2015",2015,Sep,Autumn
USA,Guam,GU,South-East,Mohammed Khan,Elena Costa,"5,511,781.00","Saturday, February 27, 2010",2010,Feb,Winter
USA,Alaska,AK,South,Nguyen Minh,Elena Costa,"927,196.00","Sunday, April 14, 2019",2019,Apr,Spring
USA,Michigan,MI,South,Liu Wei,Sophia Li,"2,096,244.00","Tuesday, July 11, 2017",2017,Jul,Summer
USA,Montana,MT,North-East,Anna Nowak,Elena Costa,"18,254,664.00","Sunday, April 3, 2011",2011,Apr,Spring
USA,Arizona,AZ,North,Mohammed Khan,Sophia Li,"11,494,754.00","Wednesday, January 11, 2012",2012,Jan,Winter
USA,West Virginia,WV,North-West,Mohammed Khan,Sophia Li,"3,904,790.00","Thursday, February 11, 2010",2010,Feb,Winter
USA,Delaware,DE,South-West,Ahmed Hassan,Mohammad Rahman,"616,639.00","Friday, February 7, 2014",2014,Feb,Winter
USA,Pennsylvania,PA,South-West,Yuki Tanaka,Sophia Li,"3,778,578.00","Tuesday, August 21, 2012",2012,Aug,Summer
USA,Massachusetts,MA,South,Yuri Petrov,Sophia Li,"13,472,555.00","Tuesday, March 10, 2015",2015,Mar,Spring
USA,Minnesota,MN,South-East,Nguyen Minh,Tariq Khan,"2,449,088.00","Thursday, May 22, 2014",2014,May,Spring
USA,Nebraska,NE,South,Yuki Tanaka,Tariq Khan,"1,971,030.00","Saturday, June 20, 2015",2015,Jun,Summer
USA,Alaska,AK,North-East,Carlos Rodriguez,Sophia Li,"13,321,952.00","Monday, May 26, 2014",2014,May,Spring
USA,Kansas,KS,West,Mohammed Khan,Mei Chen,"2,323,179.00","Friday, January 4, 2013",2013,Jan,Winter
USA,Nevada,NV,West,David Kim,Mei Chen,"2,267,975.00","Sunday, October 3, 2010",2010,Oct,Autumn
USA,Alabama,AL,South-East,Priya Patel,Sophia Li,"12,771,831.00","Saturday, December 22, 2018",2018,Dec,Winter
USA,Idaho,ID,North-East,Priya Patel,Mei Chen,"8,076,050.00","Tuesday, August 28, 2012",2012,Aug,Summer
USA,Massachusetts,MA,South,Yuki Tanaka,Elena Costa,"6,578,298.00","Thursday, April 12, 2012",2012,Apr,Spring
USA,Louisiana,LA,East,David Kim,Mei Chen,"1,050,262.00","Wednesday, May 26, 2010",2010,May,Spring
USA,Minnesota,MN,South-West,Isabella Rossi,Elena Costa,"3,586,742.00","Monday, October 12, 2015",2015,Oct,Autumn
USA,Rhode Island,RI,North-West,Leila Abadi,Mei Chen,"9,100,139.00","Friday, October 3, 2014",2014,Oct,Autumn
USA,South Carolina,SC,West,Ingrid Svensson,Mei Chen,"3,380,511.00","Saturday, November 6, 2010",2010,Nov,Autumn
USA,Oklahoma,OK,East,Yuri Petrov,Mohammad Rahman,"2,342,647.00","Sunday, November 28, 2010",2010,Nov,Autumn
USA,Minnesota,MN,North,David Kim,Elena Costa,"7,370,459.00","Wednesday, August 3, 2011",2011,Aug,Summer
USA,Nevada,NV,North,Aisha Abubakar,Elena Costa,"3,085,335.00","Friday, December 19, 2014",2014,Dec,Winter
USA,Arkansas,AR,South,Ingrid Svensson,Mohammad Rahman,"7,419,696.00","Thursday, March 17, 2016",2016,Mar,Spring
USA,North Carolina,NC,West,Fatima Mohamed,Mohammad Rahman,"11,105,737.00","Monday, April 3, 2017",2017,Apr,Spring
USA,South Carolina,SC,North-East,Priya Patel,Tariq Khan,"10,491,855.00","Friday, September 27, 2013",2013,Sep,Autumn
USA,New York,NY,East,Priya Patel,Mohammad Rahman,"881,831.00","Wednesday, March 20, 2013",2013,Mar,Spring
USA,Northern Mariana Islands,MP,North,Priya Patel,Elena Costa,"1,754,908.00","Friday, August 9, 2013",2013,Aug,Summer
USA,Illinois,IL,North,Mohammed Khan,Sophia Li,"6,941,193.00","Friday, February 21, 2020",2020,Feb,Winter
USA,Virgin Islands,VI,East,Anna Nowak,Tariq Khan,"8,138,538.00","Saturday, February 13, 2010",2010,Feb,Winter
USA,Montana,MT,North-East,Nguyen Minh,Mei Chen,"14,123,859.00","Thursday, November 7, 2013",2013,Nov,Autumn
USA,Oregon,OR,South-West,Ahmed Hassan,Mei Chen,"18,160,709.00","Sunday, June 10, 2012",2012,Jun,Summer
USA,Maryland,MD,North,Yuri Petrov,Mei Chen,"2,671,417.00","Monday, December 21, 2020",2020,Dec,Winter
USA,Ohio,OH,South,Yuri Petrov,Sophia Li,"6,406,052.00","Friday, March 7, 2014",2014,Mar,Spring
USA,Virginia,VA,South-East,Priya Patel,Elena Costa,"11,209,790.00","Sunday, January 11, 2015",2015,Jan,Winter
USA,Idaho,ID,South-West,Anna Nowak,Elena Costa,"1,013,404.00","Sunday, October 27, 2013",2013,Oct,Autumn
USA,Wyoming,WY,South,Leila Abadi,Mei Chen,"6,774,882.00","Tuesday, February 21, 2012",2012,Feb,Winter
USA,Guam,GU,North,Jamal Al-Farsi,Sophia Li,"2,649,913.00","Sunday, January 29, 2012",2012,Jan,Winter
USA,Ohio,OH,South-East,Nguyen Minh,Sophia Li,"12,811,026.00","Thursday, June 25, 2015",2015,Jun,Summer
USA,Pennsylvania,PA,North-East,Yuki Tanaka,Tariq Khan,"1,061,860.00","Saturday, March 3, 2018",2018,Mar,Spring
USA,District of Columbia,DC,East,Carlos Rodriguez,Tariq Khan,"19,425,344.00","Saturday, February 11, 2012",2012,Feb,Winter
USA,Louisiana,LA,North-West,Carlos Rodriguez,Mei Chen,"2,668,219.00","Sunday, June 24, 2018",2018,Jun,Summer
USA,Oklahoma,OK,South,Maria Garcia,Mohammad Rahman,"6,856,113.00","Monday, June 17, 2019",2019,Jun,Summer
USA,Maryland,MD,East,Jamal Al-Farsi,Elena Costa,"345,068.00","Monday, March 13, 2017",2017,Mar,Spring
USA,Northern Mariana Islands,MP,South-East,Priya Patel,Sophia Li,"13,487,991.00","Friday, May 24, 2013",2013,May,Spring
USA,Oregon,OR,North-East,Juan Lopez,Mei Chen,"8,153,257.00","Monday, March 14, 2016",2016,Mar,Spring
USA,Iowa,IA,North,Priya Patel,Tariq Khan,"8,839,571.00","Wednesday, June 30, 2010",2010,Jun,Summer
USA,Mississippi,MS,South,Mohammed Khan,Mohammad Rahman,"994,475.00","Sunday, June 2, 2013",2013,Jun,Summer
USA,Nevada,NV,North-East,Aisha Abubakar,Sophia Li,"793,235.00","Thursday, June 6, 2013",2013,Jun,Summer
USA,Pennsylvania,PA,North-West,Yuki Tanaka,Mohammad Rahman,"8,051,592.00","Tuesday, April 19, 2016",2016,Apr,Spring
USA,Trust Territories,TT,West,Leila Abadi,Mohammad Rahman,"3,848,498.00","Saturday, June 8, 2013",2013,Jun,Summer
USA,Tennessee,TN,South-West,Liu Wei,Mohammad Rahman,"1,628,127.00","Thursday, March 22, 2018",2018,Mar,Spring
USA,Rhode Island,RI,North-West,Maria Garcia,Tariq Khan,"1,519,969.00","Wednesday, March 8, 2017",2017,Mar,Spring
USA,Wyoming,WY,South-West,Maria Garcia,Mohammad Rahman,"1,284,977.00","Tuesday, October 29, 2013",2013,Oct,Autumn
USA,District of Columbia,DC,South-East,Ingrid Svensson,Elena Costa,"10,756,983.00","Sunday, January 1, 2017",2017,Jan,Winter
USA,Maine,ME,South-East,Priya Patel,Mei Chen,"20,218,392.00","Friday, August 21, 2015",2015,Aug,Summer
USA,District of Columbia,DC,West,David Kim,Elena Costa,"8,244,063.00","Saturday, March 9, 2013",2013,Mar,Spring
USA,West Virginia,WV,North-West,Miguel Fernandez,Sophia Li,"20,414,751.00","Sunday, February 18, 2018",2018,Feb,Winter
USA,New York,NY,South,Juan Lopez,Mohammad Rahman,"2,976,016.00","Thursday, July 26, 2012",2012,Jul,Summer
USA,Illinois,IL,South-West,Anna Nowak,Elena Costa,"2,358,173.00","Sunday, May 30, 2010",2010,May,Spring
USA,Connecticut,CT,North-West,Yuki Tanaka,Elena Costa,"2,929,054.00","Monday, September 12, 2011",2011,Sep,Autumn
USA,Idaho,ID,South-West,Yuri Petrov,Mohammad Rahman,"13,309,862.00","Friday, November 22, 2019",2019,Nov,Autumn
USA,Idaho,ID,South-West,Carlos Rodriguez,Sophia Li,"2,759,448.00","Thursday, August 30, 2018",2018,Aug,Summer
USA,Minnesota,MN,South-West,Marcelo Silva,Tariq Khan,"2,092,494.00","Thursday, October 7, 2010",2010,Oct,Autumn
USA,American Samoa,AS,East,Nguyen Minh,Mei Chen,"1,028,317.00","Wednesday, March 18, 2020",2020,Mar,Spring
USA,Virginia,VA,West,Ingrid Svensson,Tariq Khan,"8,882,872.00","Sunday, February 28, 2010",2010,Feb,Winter
USA,Hawaii,HI,East,Yuri Petrov,Mei Chen,"7,508,600.00","Monday, February 15, 2010",2010,Feb,Winter
USA,American Samoa,AS,East,Maria Garcia,Sophia Li,"2,079,915.00","Sunday, January 8, 2012",2012,Jan,Winter
USA,Michigan,MI,South-West,Isabella Rossi,Mohammad Rahman,"5,970,805.00","Monday, December 10, 2012",2012,Dec,Winter
USA,California,CA,South-West,Leila Abadi,Sophia Li,"495,412.00","Friday, May 17, 2019",2019,May,Spring
USA,South Dakota,SD,South-East,Marcelo Silva,Sophia Li,"1,644,675.00","Friday, June 13, 2014",2014,Jun,Summer
USA,South Carolina,SC,North,Yuki Tanaka,Sophia Li,"795,387.00","Friday, April 8, 2016",2016,Apr,Spring
USA,Ohio,OH,North-East,Anna Nowak,Tariq Khan,"1,043,743.00","Sunday, December 1, 2019",2019,Dec,Winter
USA,Montana,MT,South-East,Juan Lopez,Mei Chen,"15,507,052.00","Thursday, October 12, 2017",2017,Oct,Autumn
USA,Missouri,MO,South-East,Jamal Al-Farsi,Tariq Khan,"7,722,303.00","Thursday, July 28, 2016",2016,Jul,Summer
USA,Northern Mariana Islands,MP,West,Juan Lopez,Mohammad Rahman,"2,654,890.00","Wednesday, February 6, 2013",2013,Feb,Winter
USA,New Mexico,NM,South,Isabella Rossi,Mohammad Rahman,"1,513,652.00","Friday, March 5, 2010",2010,Mar,Spring
USA,Arizona,AZ,East,Marcelo Silva,Mohammad Rahman,"1,068,193.00","Sunday, January 15, 2017",2017,Jan,Winter
USA,Ohio,OH,North,Yuri Petrov,Sophia Li,"2,167,383.00","Thursday, March 23, 2017",2017,Mar,Spring
USA,New Hampshire,NH,South-East,Liu Wei,Mohammad Rahman,"23,759,199.00","Tuesday, February 12, 2019",2019,Feb,Winter
USA,Utah,UT,East,Ingrid Svensson,Mei Chen,"19,358,339.00","Thursday, September 3, 2020",2020,Sep,Autumn
USA,Northern Mariana Islands,MP,East,David Kim,Sophia Li,"13,346,687.00","Monday, December 31, 2018",2018,Dec,Winter
USA,South Carolina,SC,West,Leila Abadi,Elena Costa,"755,548.00","Tuesday, September 9, 2014",2014,Sep,Autumn
USA,Northern Mariana Islands,MP,West,Leila Abadi,Tariq Khan,"3,480,629.00","Friday, July 13, 2018",2018,Jul,Summer
USA,Minnesota,MN,South-West,Yuki Tanaka,Elena Costa,"6,176,510.00","Sunday, February 12, 2012",2012,Feb,Winter
USA,Tennessee,TN,West,Anna Nowak,Elena Costa,"3,963,604.00","Thursday, December 16, 2010",2010,Dec,Winter
USA,Virginia,VA,North-East,Yuki Tanaka,Tariq Khan,"1,296,612.00","Saturday, July 23, 2016",2016,Jul,Summer
